,Day,Ticker,VaR,ES,Actual_Loss,Is VaR good,Is ES good
270,2017-12-01,WFC,-0.02753872633390697,-0.05959694809263421,-0.00464252553389044,True,True
271,2017-11-30,WFC,-0.02753872633390697,-0.05959694809263421,-0.0037002775208140326,True,True
272,2017-11-29,WFC,-0.02753872633390697,-0.05959694809263421,0.019811320754717032,True,True
273,2017-11-28,WFC,-0.02753872633390697,-0.05959694809263421,0.030126336248785135,True,True
274,2017-11-27,WFC,-0.02753872633390697,-0.05959694809263421,-0.002520356727413686,True,True
275,2017-11-24,WFC,-0.02753872633390697,-0.05959694809263421,0.00038789759503488064,True,True
276,2017-11-22,WFC,-0.02753872633390697,-0.05959694809263421,-0.008270821311790688,True,True
277,2017-11-21,WFC,-0.02753872633390697,-0.05959694809263421,0.00853540252182361,True,True
278,2017-11-20,WFC,-0.02753872633390697,-0.05959694809263421,-0.0017428350116189817,True,True
279,2017-11-17,WFC,-0.02753872633390697,-0.05959694809263421,-0.008258114077203782,True,True
280,2017-11-16,WFC,-0.02753872633390697,-0.05959694809263421,0.01580179477175192,True,True
281,2017-11-15,WFC,-0.02753872633390697,-0.05959694809263421,-0.005432673651532771,True,True
282,2017-11-14,WFC,-0.02753872633390697,-0.05959694809263421,0.006051141909037661,True,True
283,2017-11-13,WFC,-0.02753872633390697,-0.05959694809263421,-0.00175370226032745,True,True
284,2017-11-10,WFC,-0.02753872633390697,-0.05959694809263421,-0.0034951456310680085,True,True
285,2017-11-09,WFC,-0.02753872633390697,-0.05959694809263421,-0.004830917874396157,True,True
286,2017-11-08,WFC,-0.02753872633390697,-0.05959694809263421,-0.014285714285714235,True,True
287,2017-11-07,WFC,-0.02753872633390697,-0.05959694809263421,-0.02015677491601342,True,True
288,2017-11-06,WFC,-0.02753872633390697,-0.05959694809263421,-0.0029772981019725586,True,True
289,2017-11-03,WFC,-0.02753872633390697,-0.05959694809263421,-0.002227998514667595,True,True
290,2017-11-02,WFC,-0.02753872633390697,-0.05959694809263421,0.011835431147849018,True,True
291,2017-11-01,WFC,-0.02753872633390697,-0.05959694809263421,0.0011284558961819346,True,True
292,2017-10-31,WFC,-0.02753872633390697,-0.05959694809263421,0.00529400642843636,True,True
293,2017-10-30,WFC,-0.02753872633390697,-0.05959694809263421,-0.0003780003780002872,True,True
294,2017-10-27,WFC,-0.02753872633390697,-0.05959694809263421,0.004556673628251184,True,True
295,2017-10-26,WFC,-0.02753872633390697,-0.05959694809263421,0.0066896024464833115,True,True
